Ubicación;Temperatura;Humedad
Olivo;11,8;0,20
Olivo;12,0;0,20
Olivo;11,6;0,16
Olivo;12,2;0,20
Olivo;12,1;0,14
Olivo;12,0;
Olivo;11,0;0,22
Entreolivo;11,9;0,26
Entreolivo;12,3;0,24
Entreolivo;11,6;0,22
Entreolivo;12,2;0,24
Entreolivo;11,9;0,26
Entreolivo;12,0;0,24
Entreolivo;11,2;0,21
Pastizal;11,7;0,14
Pastizal;11,9;0,11
Pastizal;11,7;0,27
Pastizal;13,1;0,19
Pastizal;11,8;0,27
Pastizal;13,2;0,21
Pastizal;12,9;0,17
